experiment	item	condition	conditionlabel	tasklabel	content	word	text	lab	woi	design	record	session	instructions	participant	playlist	experimentTrial	sessionTrial	recordedFile	trialDuration	date	trialStart	trialEnd	
slower2x	37	1	s2	dfd  	f_a             	AFOD                                                                                        	AFOD. PLEASE SAY AFOD AGAIN.                                                                	AFOD. PLEASE SAY AFOD AGAIN.                                                                	AFOD. PLEASE SAY AFOD AGAIN.                                                                	Fixed	y	1	instructions_s2.txt	2	1	1	1	slower2x_2_37_1.wav	11.3808	07-May-2018	17:35:46	17:35:57	
slower2x	28	1	s2	dfd  	s_u             	ASUDE                                                                                       	ASUDE. PLEASE SAY ASUDE AGAIN.                                                              	ASUDE. PLEASE SAY ASUDE AGAIN.                                                              	ASUDE. PLEASE SAY ASUDE AGAIN.                                                              	Fixed	y	1	instructions_s2.txt	2	1	2	2	slower2x_2_28_1.wav	7.1544	07-May-2018	17:35:58	17:36:05	
slower2x	18	1	s2	dfd  	k_ae            	AKAD                                                                                        	AKAD. PLEASE SAY AKAD AGAIN.                                                                	AKAD. PLEASE SAY AKAD AGAIN.                                                                	AKAD. PLEASE SAY AKAD AGAIN.                                                                	Fixed	y	1	instructions_s2.txt	2	1	3	3	slower2x_2_18_1.wav	6.9068	07-May-2018	17:36:05	17:36:12	
slower2x	42	1	s2	dfd  	ch_a            	ACHOD                                                                                       	ACHOD. PLEASE SAY ACHOD AGAIN.                                                              	ACHOD. PLEASE SAY ACHOD AGAIN.                                                              	ACHOD. PLEASE SAY ACHOD AGAIN.                                                              	Fixed	y	1	instructions_s2.txt	2	1	4	4	slower2x_2_42_1.wav	6.8522	07-May-2018	17:36:13	17:36:20	
slower2x	29	1	s2	dfd  	sh_i            	ASHEED                                                                                      	ASHEED. PLEASE SAY ASHEED AGAIN.                                                            	ASHEED. PLEASE SAY ASHEED AGAIN.                                                            	ASHEED. PLEASE SAY ASHEED AGAIN.                                                            	Fixed	y	1	instructions_s2.txt	2	1	5	5	slower2x_2_29_1.wav	7.1581	07-May-2018	17:36:20	17:36:27	
slower2x	14	1	s2	dfd  	d_ae            	ADAD                                                                                        	ADAD. PLEASE SAY ADAD AGAIN.                                                                	ADAD. PLEASE SAY ADAD AGAIN.                                                                	ADAD. PLEASE SAY ADAD AGAIN.                                                                	Fixed	y	1	instructions_s2.txt	2	1	6	6	slower2x_2_14_1.wav	7.6611	07-May-2018	17:36:28	17:36:35	
slower2x	52	1	s2	dfd  	h_u             	AHOOD                                                                                       	AHOOD. PLEASE SAY AHOOD AGAIN.                                                              	AHOOD. PLEASE SAY AHOOD AGAIN.                                                              	AHOOD. PLEASE SAY AHOOD AGAIN.                                                              	Fixed	y	1	instructions_s2.txt	2	1	7	7	slower2x_2_52_1.wav	9.4885	07-May-2018	17:36:36	17:36:46	
slower2x	31	1	s2	dfd  	sh_a            	ASHOD                                                                                       	ASHOD. PLEASE SAY ASHOD AGAIN.                                                              	ASHOD. PLEASE SAY ASHOD AGAIN.                                                              	ASHOD. PLEASE SAY ASHOD AGAIN.                                                              	Fixed	y	1	instructions_s2.txt	2	1	8	8	slower2x_2_31_1.wav	6.9403	07-May-2018	17:36:46	17:36:53	
slower2x	10	1	s2	dfd  	t_ae            	ATAD                                                                                        	ATAD. PLEASE SAY ATAD AGAIN.                                                                	ATAD. PLEASE SAY ATAD AGAIN.                                                                	ATAD. PLEASE SAY ATAD AGAIN.                                                                	Fixed	y	1	instructions_s2.txt	2	1	9	9	slower2x_2_10_1.wav	7.6459	07-May-2018	17:36:53	17:37:01	
slower2x	32	1	s2	dfd  	sh_u            	ASHUDE                                                                                      	ASHUDE. PLEASE SAY ASHUDE AGAIN.                                                            	ASHUDE. PLEASE SAY ASHUDE AGAIN.                                                            	ASHUDE. PLEASE SAY ASHUDE AGAIN.                                                            	Fixed	y	1	instructions_s2.txt	2	1	10	10	slower2x_2_32_1.wav	6.2437	07-May-2018	17:37:01	17:37:08	
